manifold_lex_d2_n9_#311: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#312: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#313: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#314: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#315: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#316: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#317: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#318: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#319: ( - ; 1 ) = RP^2
manifold_lex_d2_n9_#320: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#321: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#322: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#323: ( - ; 3 )
manifold_lex_d2_n9_#324: ( - ; 3 )
manifold_lex_d2_n9_#325: ( - ; 3 )
manifold_lex_d2_n9_#326: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#327: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#328: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#329: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#330: ( - ; 3 )
manifold_lex_d2_n9_#331: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#332: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#333: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#334: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#335: ( - ; 3 )
manifold_lex_d2_n9_#336: ( - ; 3 )
manifold_lex_d2_n9_#337: ( - ; 3 )
manifold_lex_d2_n9_#338: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#339: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#340: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#341: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#342: ( - ; 3 )
manifold_lex_d2_n9_#343: ( - ; 3 )
manifold_lex_d2_n9_#344: ( - ; 3 )
manifold_lex_d2_n9_#345: ( - ; 3 )
manifold_lex_d2_n9_#346: ( - ; 3 )
manifold_lex_d2_n9_#347: ( - ; 3 )
manifold_lex_d2_n9_#348: ( - ; 3 )
manifold_lex_d2_n9_#349: ( - ; 3 )
manifold_lex_d2_n9_#350: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#351: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#352: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#353: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#354: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#355: ( - ; 3 )
manifold_lex_d2_n9_#356: ( - ; 3 )
manifold_lex_d2_n9_#357: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#358: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#359: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#360: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#361: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#362: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#363: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#364: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#365: ( + ; 1 ) = T^2
manifold_lex_d2_n9_#366: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#367: ( - ; 2 ) = Klein bottle
manifold_lex_d2_n9_#368: ( - ; 2 ) = Klein bottle
